Freq, S[1,1]re, S[1,1]im, CV[1,1], CV[2,1], CV[1,2], CV[2,2]
0, -1.000000E+00, 1.224606E-16, 0.000000E+00, 0.000000E+00, 0.000000E+00, 0.000000E+00
45000000, -9.980756E-01, 3.020472E-02, 6.401092E-05, 3.607375E-07, 3.607375E-07, 7.592010E-05
100000000, -9.961953E-01, 6.564903E-02, 6.405147E-05, 7.810901E-07, 7.810901E-07, 7.585270E-05
250000000, -9.833249E-01, 1.617502E-01, 6.430635E-05, 1.862368E-06, 1.862368E-06, 7.532186E-05
500000000, -9.432190E-01, 3.161749E-01, 6.514798E-05, 3.424675E-06, 3.424675E-06, 7.421656E-05
750000000, -8.798042E-01, 4.613764E-01, 6.640677E-05, 4.589494E-06, 4.589494E-06, 7.275176E-05
1000000000, -7.948589E-01, 5.942375E-01, 6.794588E-05, 5.278051E-06, 5.278051E-06, 7.105998E-05
1250000000, -6.904943E-01, 7.113168E-01, 6.958149E-05, 5.418105E-06, 5.418105E-06, 6.925950E-05
1500000000, -5.693234E-01, 8.106940E-01, 7.118894E-05, 5.048554E-06, 5.048554E-06, 6.754543E-05
1750000000, -4.348172E-01, 8.895877E-01, 7.260771E-05, 4.207322E-06, 4.207322E-06, 6.605648E-05
2000000000, -2.898679E-01, 9.463224E-01, 7.368797E-05, 2.967522E-06, 2.967522E-06, 6.490898E-05
2250000000, -1.383169E-01, 9.793766E-01, 7.429719E-05, 1.454268E-06, 1.454268E-06, 6.420539E-05
2500000000, 1.665276E-02, 9.886417E-01, 7.445237E-05, -1.760606E-07, -1.760606E-07, 6.400297E-05
2750000000, 1.710942E-01, 9.736875E-01, 7.411638E-05, -1.777628E-06, -1.777628E-06, 6.431236E-05
3000000000, 3.208758E-01, 9.347475E-01, 7.328671E-05, -3.187898E-06, -3.187898E-06, 6.509433E-05
3250000000, 4.626249E-01, 8.738114E-01, 7.215909E-05, -4.319692E-06, -4.319692E-06, 6.628699E-05
3500000000, 5.925222E-01, 7.909140E-01, 7.064498E-05, -4.978166E-06, -4.978166E-06, 6.772945E-05
3750000000, 7.078881E-01, 6.902110E-01, 6.908833E-05, -5.218647E-06, -5.218647E-06, 6.935230E-05
4000000000, 8.062637E-01, 5.723631E-01, 6.750268E-05, -4.934084E-06, -4.934084E-06, 7.095044E-05
4250000000, 8.856041E-01, 4.406938E-01, 6.608748E-05, -4.194927E-06, -4.194927E-06, 7.242999E-05
4500000000, 9.432334E-01, 2.983651E-01, 6.495807E-05, -3.028789E-06, -3.028789E-06, 7.357503E-05
4750000000, 9.779652E-01, 1.481571E-01, 6.423573E-05, -1.556028E-06, -1.556028E-06, 7.427113E-05
5000000000, 9.895318E-01, -5.531897E-03, 6.400033E-05, 5.909238E-08, 5.909238E-08, 7.457030E-05
5250000000, 9.767587E-01, -1.589177E-01, 6.427281E-05, 1.676792E-06, 1.676792E-06, 7.430609E-05
5500000000, 9.406334E-01, -3.086760E-01, 6.503409E-05, 3.151189E-06, 3.151189E-06, 7.360267E-05
5750000000, 8.812623E-01, -4.514412E-01, 6.621659E-05, 4.327034E-06, 4.327034E-06, 7.244684E-05
6000000000, 8.001240E-01, -5.837955E-01, 6.772031E-05, 5.098887E-06, 5.098887E-06, 7.098831E-05
6250000000, 6.982689E-01, -7.019945E-01, 6.935830E-05, 5.329867E-06, 5.329867E-06, 6.930158E-05
6500000000, 5.788086E-01, -8.027969E-01, 7.097011E-05, 5.025383E-06, 5.025383E-06, 6.762325E-05
6750000000, 4.449923E-01, -8.839090E-01, 7.243989E-05, 4.248953E-06, 4.248953E-06, 6.613908E-05
7000000000, 2.998932E-01, -9.430397E-01, 7.360369E-05, 3.054039E-06, 3.054039E-06, 6.497121E-05
7250000000, 1.471010E-01, -9.781492E-01, 7.427808E-05, 1.545691E-06, 1.545691E-06, 6.423245E-05
7500000000, -1.000061E-02, -9.889351E-01, 7.448494E-05, -1.060290E-07, -1.060290E-07, 6.400107E-05
7750000000, -1.671092E-01, -9.744983E-01, 7.414799E-05, -1.740199E-06, -1.740199E-06, 6.429841E-05
8000000000, -3.200424E-01, -9.351242E-01, 7.330418E-05, -3.184318E-06, -3.184318E-06, 6.508982E-05
8250000000, -4.644756E-01, -8.726925E-01, 7.212604E-05, -4.324943E-06, -4.324943E-06, 6.630188E-05
8500000000, -5.972715E-01, -7.872029E-01, 7.057421E-05, -4.988029E-06, -4.988029E-06, 6.778455E-05
8750000000, -7.152371E-01, -6.816184E-01, 6.892101E-05, -5.163728E-06, -5.163728E-06, 6.941841E-05
9000000000, -8.144123E-01, -5.581537E-01, 6.727114E-05, -4.772986E-06, -4.772986E-06, 7.096435E-05
9250000000, -8.929439E-01, -4.201820E-01, 6.584309E-05, -3.916816E-06, -3.916816E-06, 7.232377E-05
9500000000, -9.481745E-01, -2.720270E-01, 6.476816E-05, -2.677477E-06, -2.677477E-06, 7.333258E-05
9750000000, -9.788910E-01, -1.179663E-01, 6.414362E-05, -1.191767E-06, -1.191767E-06, 7.388935E-05
10000000000, -9.848833E-01, 3.903356E-02, 6.401566E-05, 3.951267E-07, 3.951267E-07, 7.396972E-05
10250000000, -9.657464E-01, 1.943952E-01, 6.565192E-05, 8.206686E-06, 8.206686E-06, 1.047704E-04
10500000000, -9.224827E-01, 3.448387E-01, 6.919359E-05, 1.389344E-05, 1.389344E-05, 1.011665E-04
10750000000, -8.557211E-01, 4.861722E-01, 7.430285E-05, 1.813425E-05, 1.813425E-05, 9.591844E-05
